Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Direction	GO terms (biological process)	GO terms (molecular function)	Pathways of gene	Accession-2
RSAU_RS00470	RSAU_RS00470	105992	106948	RSAU_RS00470-MONOMER	-		GO:0005215		RSAU_000097
RSAU_RS12105	RSAU_RS12105	2397633	2398580	RSAU_RS12105-MONOMER	+				RSAU_002259
RSAU_RS13455	RSAU_RS13455	2682291	2683058	RSAU_RS13455-MONOMER	-				RSAU_002507
RSAU_RS06040	RSAU_RS06040	1231567	1235877	RSAU_RS06040-MONOMER	+				RSAU_001146
RSAU_RS01210	RSAU_RS01210	282605	282919	RSAU_RS01210-MONOMER	+				RSAU_000235
RSAU_RS07945	RSAU_RS07945	1614758	1616947	RSAU_RS07945-MONOMER	-			PPGPPMET-PWY	RSAU_001495
RSAU_RS04270	RSAU_RS04270	874825	875148	RSAU_RS04270-MONOMER	+				RSAU_000814
RSAU_RS11810	RSAU_RS11810	2339791	2341464	RSAU_RS11810-MONOMER	+				RSAU_002205
RSAU_RS04505	RSAU_RS04505	929662	930012	RSAU_RS04505-MONOMER	-				
RSAU_RS08070	RSAU_RS08070	1641050	1641589	RSAU_RS08070-MONOMER	-				RSAU_001520
RSAU_RS04220	RSAU_RS04220	867340	867774	RSAU_RS04220-MONOMER	+				RSAU_000806
RSAU_RS00260	RSAU_RS00260	58208	60445	RSAU_RS00260-MONOMER	+				RSAU_000058
RSAU_RS10840	RSAU_RS10840	2169636	2170145	RSAU_RS10840-MONOMER	-				RSAU_002026
RSAU_RS01770	RSAU_RS01770	387814	387966	RSAU_RS01770-MONOMER	-				
RSAU_RS07555	RSAU_RS07555	1538851	1539714	RSAU_RS07555-MONOMER	-		GO:0005215		RSAU_001420
RSAU_RS12210	RSAU_RS12210	2417754	2419832	RSAU_RS12210-MONOMER	+		GO:0005215		RSAU_002279
RSAU_RS06280	RSAU_RS06280	1288920	1289144	RSAU_RS06280-MONOMER	+				
RSAU_RS12410	RSAU_RS12410	2458551	2458973	RSAU_RS12410-MONOMER	-				RSAU_002312
RSAU_RS12445	RSAU_RS12445	2462841	2463122	RSAU_RS12445-MONOMER	+				RSAU_002318
RSAU_RS01980	RSAU_RS01980	425522	427006	RSAU_RS01980-MONOMER	+			PWY0-1335 // PWY0-1334 // PWY0-1573 // PWY0-1567 // PWY0-1568	RSAU_000385
RSAU_RS09365	RSAU_RS09365	1880639	1881181	RSAU_RS09365-MONOMER	-				RSAU_001754
RSAU_RS11885	RSAU_RS11885	2355481	2355903	RSAU_RS11885-MONOMER	+				RSAU_002218
RSAU_RS06350	RSAU_RS06350	1294731	1294868	RSAU_RS06350-MONOMER	+				RSAU_001201
RSAU_RS01130	RSAU_RS01130	262013	262405	RSAU_RS01130-MONOMER	+				RSAU_000219
RSAU_RS14680	RSAU_RS14680	1980003	1980179	RSAU_RS14680-MONOMER	-				RSAU_001848
RSAU_RS11790	RSAU_RS11790	2334085	2334813	RSAU_RS11790-MONOMER	+		GO:0005215		RSAU_002201
RSAU_RS02225	RSAU_RS02225	478495	479343	RSAU_RS02225-MONOMER	+				RSAU_000432
RSAU_RS07525	RSAU_RS07525	1532898	1534361	RSAU_RS07525-MONOMER	-				RSAU_001414
RSAU_RS01115	RSAU_RS01115	259521	260402	RSAU_RS01115-MONOMER	-		GO:0005215		RSAU_000217
RSAU_RS11630	RSAU_RS11630	2305834	2306487	RSAU_RS11630-MONOMER	+				RSAU_002172
RSAU_RS08730	RSAU_RS08730	1788425	1788790	RSAU_RS08730-MONOMER	+		GO:0005215		RSAU_001639
RSAU_RS05690	RSAU_RS05690	1156256	1156783	RSAU_RS05690-MONOMER	+			PWY-7208 // PWY-7183	RSAU_001081
RSAU_RS04520	RSAU_RS04520	932290	933372	RSAU_RS04520-MONOMER	+		GO:0005215		RSAU_000862
RSAU_RS05875	RSAU_RS05875	1195748	1199314	RSAU_RS05875-MONOMER	+				RSAU_001116
RSAU_RS00195	RSAU_RS00195	44769	45683	RSAU_RS00195-MONOMER	-				RSAU_000042
RSAU_RS07460	RSAU_RS07460	1525257	1526348	RSAU_RS07460-MONOMER	-			1CMET2-PWY // GLYCLEAV-PWY	RSAU_001403
RSAU_RS05900	RSAU_RS05900	1203174	1203677	RSAU_RS05900-MONOMER	+				RSAU_001121
RSAU_RS09485	RSAU_RS09485	1901210	1901623	RSAU_RS09485-MONOMER	-				RSAU_001777
RSAU_RS02360	RSAU_RS02360	504726	504801	RSAU_RS02360-tRNA	+			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_000458
RSAU_RS03590	RSAU_RS03590	745169	747052	RSAU_RS03590-MONOMER	+				RSAU_000694
RSAU_RS05405	RSAU_RS05405	1106801	1107415	RSAU_RS05405-MONOMER	+			PWY0-1329 // PWY0-1353 // TCA	RSAU_001031
RSAU_RS02535	RSAU_RS02535	533747	534355	RSAU_RS02535-MONOMER	+				RSAU_000493
RSAU_RS00190	RSAU_RS00190	43877	44477	RSAU_RS00190-MONOMER	+				RSAU_000041
RSAU_RS08800	RSAU_RS08800	1801663	1802289	RSAU_RS08800-MONOMER	+				RSAU_001653
RSAU_RS07065	RSAU_RS07065	1453410	1454090	RSAU_RS07065-MONOMER	-				RSAU_001332
RSAU_RS14580	RSAU_RS14580	1973402	1973677	RSAU_RS14580-MONOMER	-				
RSAU_RS07335	RSAU_RS07335	1501592	1502725	RSAU_RS07335-MONOMER	-				RSAU_001378
RSAU_RS01285	RSAU_RS01285	293744	294142	RSAU_RS01285-MONOMER	+				RSAU_000250
RSAU_RS10450	RSAU_RS10450	2084501	2085337	RSAU_RS10450-MONOMER	-				RSAU_001955
RSAU_RS10490	RSAU_RS10490	2093096	2093956	RSAU_RS10490-MONOMER	-			ANAEROFRUCAT-PWY // ANAGLYCOLYSIS-PWY // PWY-1861 // GLUCONEO-PWY	RSAU_001963
RSAU_RS11055	RSAU_RS11055	2207986	2209278	RSAU_RS11055-MONOMER	-				RSAU_002066
RSAU_RS10985	RSAU_RS10985	2197879	2199315	RSAU_RS10985-MONOMER	-				RSAU_002052
RSAU_RS02190	RSAU_RS02190	472314	473153	RSAU_RS02190-MONOMER	+				RSAU_000426
RSAU_RS01755	RSAU_RS01755	386536	386958	RSAU_RS01755-MONOMER	-				RSAU_000339
RSAU_RS11305	RSAU_RS11305	2243371	2244042	RSAU_RS11305-MONOMER	-			PWY-8171	RSAU_002112
RSAU_RS05190	RSAU_RS05190	1064503	1065330	RSAU_RS05190-MONOMER	+			PWY-2301	RSAU_000992
RSAU_RS05515	RSAU_RS05515	1122424	1123149	RSAU_RS05515-MONOMER	-				RSAU_001048
RSAU_RS07840	RSAU_RS07840	1592767	1593690	RSAU_RS07840-MONOMER	-				RSAU_001475
RSAU_RS06480	RSAU_RS06480	1316950	1317189	RSAU_RS06480-MONOMER	+				RSAU_001223
RSAU_RS14515	RSAU_RS14515	460157	460253	RSAU_RS14515-MONOMER	+				
RSAU_RS06960	RSAU_RS06960	1415595	1429214	RSAU_RS06960-MONOMER	-				RSAU_001312
RSAU_RS08900	RSAU_RS08900	1818097	1818804	RSAU_RS08900-MONOMER	-				RSAU_001670
RSAU_RS00860	RSAU_RS00860	206797	208859	RSAU_RS00860-MONOMER	+				RSAU_000175
RSAU_RS08125	RSAU_RS08125	1651932	1652858	RSAU_RS08125-MONOMER	-			PWY-5188 // PWY-8159	RSAU_001529
RSAU_RS02665	RSAU_RS02665	574477	575355	RSAU_RS02665-MONOMER	-			PWY-6612 // PWY-6147 // PWY-6703	RSAU_000520
RSAU_RS04050	RSAU_RS04050	839872	840108	RSAU_RS04050-MONOMER	-				RSAU_000774
RSAU_RS02655	RSAU_RS02655	571109	572581	RSAU_RS02655-MONOMER	+				RSAU_000518
RSAU_RS07520	RSAU_RS07520	1532714	1532917	RSAU_RS07520-MONOMER	-				RSAU_001413
RSAU_RS11910	RSAU_RS11910	2360296	2360661	RSAU_RS11910-MONOMER	-				RSAU_002223
RSAU_RS01720	RSAU_RS01720	378524	379792	RSAU_RS01720-MONOMER	+		GO:0005215		RSAU_000333
RSAU_RS02170	RSAU_RS02170	469905	470708	RSAU_RS02170-MONOMER	+				RSAU_000422
RSAU_RS07795	RSAU_RS07795	1584479	1585678	RSAU_RS07795-MONOMER	-		GO:0005215		RSAU_001466
RSAU_RS01930	RSAU_RS01930	416639	417421	RSAU_RS01930-MONOMER	+				RSAU_000372
RSAU_RS07380	RSAU_RS07380	1511623	1512075	RSAU_RS07380-MONOMER	-				RSAU_001387
RSAU_RS00625	RSAU_RS00625	140598	141629	RSAU_RS00625-MONOMER	+			FAO-PWY // PWY0-1337 // FASYN-ELONG-PWY // PWY-7388	RSAU_000128
RSAU_RS12815	RSAU_RS12815	2541624	2543618	RSAU_RS12815-MONOMER	-		GO:0005215		RSAU_002391
RSAU_RS10940	RSAU_RS10940	2187684	2188100	RSAU_RS10940-MONOMER	-				RSAU_002044
RSAU_RS02870	RSAU_RS02870	610091	610567	RSAU_RS02870-MONOMER	+				RSAU_000559
RSAU_RS12535	RSAU_RS12535	2479963	2480229	RSAU_RS12535-MONOMER	+				RSAU_002335
RSAU_RS02705	RSAU_RS02705	581909	583285	RSAU_RS02705-MONOMER	+				RSAU_000528
RSAU_RS07250	RSAU_RS07250	1486029	1486760	RSAU_RS07250-MONOMER	-				RSAU_001363
RSAU_RS01270	RSAU_RS01270	291598	292098	RSAU_RS01270-MONOMER	+				RSAU_000247
RSAU_RS07585	RSAU_RS07585	1544938	1546044	RSAU_RS07585-MONOMER	-				RSAU_001426
RSAU_RS08010	RSAU_RS08010	1629932	1630241	RSAU_RS08010-MONOMER	-				RSAU_001508
RSAU_RS08000	RSAU_RS08000	1629310	1629594	RSAU_RS08000-MONOMER	-				RSAU_001506
RSAU_RS13120	RSAU_RS13120	2600296	2601792	RSAU_RS13120-MONOMER	-			TCA	RSAU_002448
RSAU_RS14705	RSAU_RS14705	2628722	2628832	RSAU_RS14705-MONOMER	+				
RSAU_RS03040	RSAU_RS03040	641569	642363	RSAU_RS03040-MONOMER	-				RSAU_000593
RSAU_RS00670	RSAU_RS00670	157422	158777	RSAU_RS00670-MONOMER	-		GO:0005215		RSAU_000137
RSAU_RS05940	RSAU_RS05940	1211050	1211958	RSAU_RS05940-MONOMER	+			TCA	RSAU_001128
RSAU_RS13875	RSAU_RS13875	424720	424788	RSAU_RS13875-MONOMER	-				RSAU_000382
RSAU_RS08765	RSAU_RS08765	1795669	1796142	RSAU_RS08765-MONOMER	-			PWY-7184 // PWY-7185	RSAU_001646
RSAU_RS01385	RSAU_RS01385	316892	316984	RSAU_RS01385-MONOMER	+				
RSAU_RS03240	RSAU_RS03240	680197	681264	RSAU_RS03240-MONOMER	+				RSAU_000630
RSAU_RS08045	RSAU_RS08045	1634547	1636961	RSAU_RS08045-MONOMER	-				RSAU_001515
RSAU_RS00755	RSAU_RS00755	181381	183387	RSAU_RS00755-MONOMER	+				RSAU_000153
RSAU_RS07835	RSAU_RS07835	1591487	1592755	RSAU_RS07835-MONOMER	-				RSAU_001474
RSAU_RS06265	RSAU_RS06265	1285812	1286180	RSAU_RS06265-MONOMER	+				RSAU_001191
RSAU_RS01900	RSAU_RS01900	411832	412140	RSAU_RS01900-MONOMER	-				RSAU_000366
RSAU_RS07930	RSAU_RS07930	1611699	1612961	RSAU_RS07930-MONOMER	-			TRNA-CHARGING-PWY	RSAU_001492
RSAU_RS02945	RSAU_RS02945	623606	623980	RSAU_RS02945-MONOMER	-				RSAU_000573
RSAU_RS02710	RSAU_RS02710	583287	584426	RSAU_RS02710-MONOMER	+				RSAU_000529
RSAU_RS02475	RSAU_RS02475	525473	526120	RSAU_RS02475-MONOMER	+			CYSTSYN-PWY	RSAU_000480
RSAU_RS10115	RSAU_RS10115	2021924	2023294	RSAU_RS10115-MONOMER	+			BRANCHED-CHAIN-AA-SYN-PWY // LEUSYN-PWY	RSAU_001892
RSAU_RS11135	RSAU_RS11135	2215342	2215620	RSAU_RS11135-MONOMER	-				RSAU_002082
RSAU_RS04895	RSAU_RS04895	1004795	1005805	RSAU_RS04895-MONOMER	-				RSAU_000938
RSAU_RS06790	RSAU_RS06790	1386295	1386495	RSAU_RS06790-MONOMER	-				RSAU_001282
RSAU_RS08820	RSAU_RS08820	1803861	1804037	RSAU_RS08820-MONOMER	-				
RSAU_RS04725	RSAU_RS04725	975238	977562	RSAU_RS04725-MONOMER	+				RSAU_000907
RSAU_RS09915	RSAU_RS09915	1986168	1986377	RSAU_RS09915-MONOMER	-				
RSAU_RS11215	RSAU_RS11215	2227623	2230790	RSAU_RS11215-MONOMER	-		GO:0005215		RSAU_002096
RSAU_RS06580	RSAU_RS06580	1341918	1344440	RSAU_RS06580-MONOMER	+				RSAU_001241
RSAU_RS03745	RSAU_RS03745	777467	778537	RSAU_RS03745-MONOMER	-				RSAU_000721
RSAU_RS06830	RSAU_RS06830	1392763	1393554	RSAU_RS06830-MONOMER	-				RSAU_001289
RSAU_RS09215	RSAU_RS09215	1866188	1866268	RSAU_RS09215-tRNA	-			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_001725
RSAU_RS04035	RSAU_RS04035	838855	839043	RSAU_RS04035-MONOMER	-				
RSAU_RS12670	RSAU_RS12670	2514356	2515348	RSAU_RS12670-MONOMER	+			P122-PWY // FERMENTATION-PWY	RSAU_002365
RSAU_RS06405	RSAU_RS06405	1304140	1305420	RSAU_RS06405-MONOMER	+			HOMOSERSYN-PWY	RSAU_001210
RSAU_RS09970	RSAU_RS09970	1994466	1995251	RSAU_RS09970-MONOMER	+				RSAU_001865
RSAU_RS01365	RSAU_RS01365	310650	311963	RSAU_RS01365-MONOMER	-				RSAU_000265
RSAU_RS10375	RSAU_RS10375	2072184	2072588	RSAU_RS10375-MONOMER	-			PWY-7980	RSAU_001940
RSAU_RS12110	RSAU_RS12110	2398582	2399559	RSAU_RS12110-MONOMER	+				RSAU_002260
RSAU_RS03900	RSAU_RS03900	811590	812603	RSAU_RS03900-MONOMER	+				RSAU_000749
RSAU_RS13600	RSAU_RS13600	2708595	2709551	RSAU_RS13600-MONOMER	+				RSAU_002534
RSAU_RS10050	RSAU_RS10050	2009377	2010987	RSAU_RS10050-MONOMER	+				RSAU_001881
RSAU_RS12000	RSAU_RS12000	2380398	2381222	RSAU_RS12000-MONOMER	-		GO:0005215		RSAU_002241
RSAU_RS01015	RSAU_RS01015	241164	242189	RSAU_RS01015-MONOMER	+				RSAU_000200
RSAU_RS04275	RSAU_RS04275	875208	876272	RSAU_RS04275-MONOMER	-				RSAU_000815
RSAU_RS02570	RSAU_RS02570	545740	546924	RSAU_RS02570-MONOMER	+				RSAU_000500
RSAU_RS00675	RSAU_RS00675	159038	161134	RSAU_RS00675-MONOMER	-				RSAU_000138
RSAU_RS03475	RSAU_RS03475	723807	724727	RSAU_RS03475-MONOMER	+			PWY0-1314	RSAU_000674
RSAU_RS03975	RSAU_RS03975	826980	827108	RSAU_RS03975-MONOMER	+				
RSAU_RS11580	RSAU_RS11580	2293088	2294383	RSAU_RS11580-MONOMER	-		GO:0005215		RSAU_002162
RSAU_RS05790	RSAU_RS05790	1179210	1180304	RSAU_RS05790-MONOMER	+				RSAU_001100
RSAU_RS04525	RSAU_RS04525	933362	934303	RSAU_RS04525-MONOMER	+		GO:0005215		RSAU_000863
RSAU_RS07810	RSAU_RS07810	1587848	1588297	RSAU_RS07810-MONOMER	-				RSAU_001469
RSAU_RS11280	RSAU_RS11280	2239237	2240496	RSAU_RS11280-MONOMER	-			PWY-8171	RSAU_002107
RSAU_RS02560	RSAU_RS02560	542849	543319	RSAU_RS02560-MONOMER	+				RSAU_000498
RSAU_RS08490	RSAU_RS08490	1733720	1733833	RSAU_RS08490-MONOMER	-				
RSAU_RS01925	RSAU_RS01925	415805	416599	RSAU_RS01925-MONOMER	+				RSAU_000371
RSAU_RS13450	RSAU_RS13450	2681556	2682056	RSAU_RS13450-MONOMER	-				RSAU_002506
RSAU_RS10925	RSAU_RS10925	2185551	2186159	RSAU_RS10925-MONOMER	-				RSAU_002042
RSAU_RS05330	RSAU_RS05330	1090398	1091363	RSAU_RS05330-MONOMER	+		GO:0005215		RSAU_001018
RSAU_RS13050	RSAU_RS13050	2585999	2587681	RSAU_RS13050-MONOMER	+				RSAU_002435
RSAU_RS11605	RSAU_RS11605	2299293	2300954	RSAU_RS11605-MONOMER	-			HISDEG-PWY	RSAU_002167
RSAU_RS08240	RSAU_RS08240	1674919	1676406	RSAU_RS08240-MONOMER	-				RSAU_001549
RSAU_RS09205	RSAU_RS09205	1866024	1866096	RSAU_RS09205-tRNA	-			PWY0-1479 // TRNA-CHARGING-PWY	RSAU_001723
RSAU_RS00515	RSAU_RS00515	117909	119732	RSAU_RS00515-MONOMER	+				RSAU_000106
RSAU_RS13070	RSAU_RS13070	2590245	2591096	RSAU_RS13070-MONOMER	-			PANTOSYN-PWY // PANTO-PWY	RSAU_002439
RSAU_RS13880	RSAU_RS13880	430477	430893	RSAU_RS13880-MONOMER	-				RSAU_000388
RSAU_RS07495	RSAU_RS07495	1528714	1529784	RSAU_RS07495-MONOMER	-				RSAU_001408
RSAU_RS10830	RSAU_RS10830	2166204	2167397	RSAU_RS10830-MONOMER	-		GO:0005215		RSAU_002024
RSAU_RS03395	RSAU_RS03395	707685	708560	RSAU_RS03395-MONOMER	-			PWY-5785	RSAU_000659
RSAU_RS02750	RSAU_RS02750	588613	590097	RSAU_RS02750-MONOMER	+		GO:0005215		RSAU_000535
RSAU_RS11840	RSAU_RS11840	2345815	2345931	RSAU_RS11840-MONOMER	-				
RSAU_RS12115	RSAU_RS12115	2399611	2400078	RSAU_RS12115-MONOMER	-		GO:0005215		RSAU_002261
RSAU_RS11410	RSAU_RS11410	2262351	2263160	RSAU_RS11410-MONOMER	+				RSAU_002132
RSAU_RS05325	RSAU_RS05325	1089507	1090385	RSAU_RS05325-MONOMER	+		GO:0005215		RSAU_001017
RSAU_RS03640	RSAU_RS03640	757400	758905	RSAU_RS03640-MONOMER	-		GO:0005215		RSAU_000702
RSAU_RS10690	RSAU_RS10690	2141255	2142187	RSAU_RS10690-MONOMER	-				RSAU_001998
RSAU_RS06750	RSAU_RS06750	1378861	1379748	RSAU_RS06750-MONOMER	+			PWY-2941	RSAU_001274
RSAU_RS12800	RSAU_RS12800	2538381	2538902	RSAU_RS12800-MONOMER	-				RSAU_002388
RSAU_RS06240	RSAU_RS06240	1281079	1282014	RSAU_RS06240-MONOMER	+				RSAU_001186
RSAU_RS07975	RSAU_RS07975	1624385	1625410	RSAU_RS07975-MONOMER	-			PWY-6700	RSAU_001501
RSAU_RS11915	RSAU_RS11915	2361058	2361504	RSAU_RS11915-MONOMER	+				RSAU_002224
RSAU_RS08955	RSAU_RS08955	1828713	1829498	RSAU_RS08955-MONOMER	-				RSAU_001678
RSAU_RS08570	RSAU_RS08570	1750878	1752287	RSAU_RS08570-MONOMER	-				RSAU_001608
RSAU_RS02860	RSAU_RS02860	608236	609174	RSAU_RS02860-MONOMER	+				RSAU_000557
RSAU_RS14650	RSAU_RS14650	361088	361830	RSAU_RS14650-MONOMER	-				RSAU_000314
RSAU_RS10510	RSAU_RS10510	2097392	2098252	RSAU_RS10510-MONOMER	-				RSAU_001967
RSAU_RS04970	RSAU_RS04970	1021733	1022215	RSAU_RS04970-MONOMER	+			PWY-6123	RSAU_000951
RSAU_RS12840	RSAU_RS12840	2547610	2549154	RSAU_RS12840-MONOMER	-			ARGASEDEG-PWY // PROUT-PWY	RSAU_002395
RSAU_RS00930	RSAU_RS00930	223536	224489	RSAU_RS00930-MONOMER	+			ANAEROFRUCAT-PWY // P122-PWY // PWY-5481	RSAU_000186
RSAU_RS03420	RSAU_RS03420	713906	714814	RSAU_RS03420-MONOMER	+				RSAU_000664
RSAU_RS09835	RSAU_RS09835	1973051	1973392	RSAU_RS09835-MONOMER	-				RSAU_001841
RSAU_RS07025	RSAU_RS07025	1443211	1443870	RSAU_RS07025-MONOMER	-				RSAU_001324
RSAU_RS14340	RSAU_RS14340	2268994	2270605	RSAU_RS14340-MONOMER	-				
RSAU_RS00380	RSAU_RS00380	89340	90116	RSAU_RS00380-MONOMER	+			PWY-6389	RSAU_000081
RSAU_RS05655	RSAU_RS05655	1149085	1151838	RSAU_RS05655-MONOMER	+			TRNA-CHARGING-PWY	RSAU_001074
RSAU_RS01080	RSAU_RS01080	254444	255235	RSAU_RS01080-MONOMER	+		GO:0005215		RSAU_000212
RSAU_RS04295	RSAU_RS04295	878979	880454	RSAU_RS04295-MONOMER	+				RSAU_000819
RSAU_RS08130	RSAU_RS08130	1652900	1653715	RSAU_RS08130-MONOMER	-				RSAU_001530
RSAU_RS01340	RSAU_RS01340	305167	306699	RSAU_RS01340-MONOMER	-		GO:0005215		RSAU_000260
RSAU_RS12085	RSAU_RS12085	2394145	2394240	RSAU_RS12085-MONOMER	-				
RSAU_RS08035	RSAU_RS08035	1633188	1633472	RSAU_RS08035-MONOMER	-				
RSAU_RS09125	RSAU_RS09125	1854882	1855703	RSAU_RS09125-MONOMER	+				RSAU_001709
RSAU_RS13470	RSAU_RS13470	2685275	2685835	RSAU_RS13470-MONOMER	-				RSAU_002510
RSAU_RS03020	RSAU_RS03020	638167	638910	RSAU_RS03020-MONOMER	-		GO:0005215		RSAU_000589
RSAU_RS11445	RSAU_RS11445	2267937	2268890	RSAU_RS11445-MONOMER	+				RSAU_002137
RSAU_RS02180	RSAU_RS02180	471346	472071	RSAU_RS02180-MONOMER	+				RSAU_000424
RSAU_RS07745	RSAU_RS07745	1577002	1577571	RSAU_RS07745-MONOMER	-			PWY-7761 // PWY-5653	RSAU_001458
RSAU_RS02780	RSAU_RS02780	595346	596266	RSAU_RS02780-MONOMER	+				RSAU_000542
RSAU_RS04575	RSAU_RS04575	943842	944237	RSAU_RS04575-MONOMER	+				RSAU_000873
RSAU_RS07870	RSAU_RS07870	1598666	1601143	RSAU_RS07870-MONOMER	-				RSAU_001481
RSAU_RS05355	RSAU_RS05355	1094006	1095064	RSAU_RS05355-MONOMER	+			TRNA-CHARGING-PWY	RSAU_001022
RSAU_RS06080	RSAU_RS06080	1242409	1243380	RSAU_RS06080-MONOMER	+			RIBOSYN2-PWY	RSAU_001155
RSAU_RS08065	RSAU_RS08065	1639830	1640915	RSAU_RS08065-MONOMER	-				RSAU_001519
RSAU_RS11960	RSAU_RS11960	2368562	2369137	RSAU_RS11960-MONOMER	-				RSAU_002233
RSAU_RS05500	RSAU_RS05500	1120110	1120334	RSAU_RS05500-MONOMER	+				RSAU_001045
RSAU_RS08485	RSAU_RS08485	1732658	1733647	RSAU_RS08485-MONOMER	-				RSAU_001592
RSAU_RS09115	RSAU_RS09115	1852962	1853585	RSAU_RS09115-MONOMER	-				RSAU_001707
RSAU_RS10000	RSAU_RS10000	1999049	1999156	RSAU_RS10000-MONOMER	+				
RSAU_RS02620	RSAU_RS02620	557661	558131	RSAU_RS02620-MONOMER	+			PWY-7200 // PWY0-1298 // PWY-7199 // PWY-7181 // PWY-7193 // PWY0-1295	RSAU_000510
RSAU_RS08470	RSAU_RS08470	1728859	1730565	RSAU_RS08470-MONOMER	-			ACETATEUTIL-PWY // PWY0-1313 // PWY66-21	RSAU_001589
RSAU_RS08620	RSAU_RS08620	1769521	1770084	RSAU_RS08620-MONOMER	+				RSAU_001618
RSAU_RS00050	RSAU_RS00050	14298	14993	RSAU_RS00050-MONOMER	+		GO:0005215		RSAU_000010
RSAU_RS02240	RSAU_RS02240	480650	480952	RSAU_RS02240-MONOMER	+				RSAU_000435
RSAU_RS08890	RSAU_RS08890	1816473	1817192	RSAU_RS08890-MONOMER	-				RSAU_001668
RSAU_RS13585	RSAU_RS13585	2705493	2706341	RSAU_RS13585-MONOMER	-				RSAU_002531
RSAU_RS13085	RSAU_RS13085	2592926	2593630	RSAU_RS13085-MONOMER	-			PWY-5939	RSAU_002442
RSAU_RS09700	RSAU_RS09700	1946288	1947658	RSAU_RS09700-MONOMER	-				RSAU_001814
RSAU_RS05510	RSAU_RS05510	1121604	1122329	RSAU_RS05510-MONOMER	-				RSAU_001047
RSAU_RS08160	RSAU_RS08160	1658919	1659848	RSAU_RS08160-MONOMER	-				RSAU_001535
RSAU_RS01510	RSAU_RS01510	340882	341271	RSAU_RS01510-MONOMER	-				RSAU_000293
RSAU_RS02140	RSAU_RS02140	465713	465827	RSAU_RS02140-rRNA	+				RSAU_000417
RSAU_RS02720	RSAU_RS02720	584769	585038	RSAU_RS02720-MONOMER	+				
RSAU_RS13280	RSAU_RS13280	2630512	2633115	RSAU_RS13280-MONOMER	-				RSAU_002473
RSAU_RS02265	RSAU_RS02265	484661	485302	RSAU_RS02265-MONOMER	+				RSAU_000440
RSAU_RS07505	RSAU_RS07505	1530782	1531405	RSAU_RS07505-MONOMER	-				RSAU_001410
RSAU_RS02300	RSAU_RS02300	493175	493576	RSAU_RS02300-MONOMER	+				RSAU_000447
RSAU_RS06850	RSAU_RS06850	1396638	1399436	RSAU_RS06850-MONOMER	-			TCA // PWY-5084	RSAU_001293
RSAU_RS02775	RSAU_RS02775	593925	594761	RSAU_RS02775-MONOMER	+				RSAU_000541
RSAU_RS13735	RSAU_RS13735	2735793	2735930	RSAU_RS13735-MONOMER	-				RSAU_002562
RSAU_RS06920	RSAU_RS06920	1410492	1411448	RSAU_RS06920-MONOMER	-			PWY-7200 // 1CMET2-PWY // PWY-7199 // PWY-7184	RSAU_001306
RSAU_RS10955	RSAU_RS10955	2191104	2192033	RSAU_RS10955-MONOMER	-				RSAU_002046
RSAU_RS07905	RSAU_RS07905	1606741	1607163	RSAU_RS07905-MONOMER	-				RSAU_001488
RSAU_RS01295	RSAU_RS01295	295451	296761	RSAU_RS01295-MONOMER	-		GO:0005215		RSAU_000252
RSAU_RS08660	RSAU_RS08660	1775670	1776713	RSAU_RS08660-MONOMER	-			RIBOSYN2-PWY	RSAU_001625
RSAU_RS03805	RSAU_RS03805	790382	791032	RSAU_RS03805-MONOMER	+				RSAU_000731
RSAU_RS13605	RSAU_RS13605	2709703	2710341	RSAU_RS13605-MONOMER	+			PWY-7942	RSAU_002535
RSAU_RS13705	RSAU_RS13705	2729289	2729642	RSAU_RS13705-MONOMER	-				RSAU_002556
RSAU_RS03350	RSAU_RS03350	702357	702845	RSAU_RS03350-MONOMER	+				RSAU_000650
RSAU_RS09545	RSAU_RS09545	1910935	1912362	RSAU_RS09545-MONOMER	-			AMMASSIM-PWY // PWY-5921 // GLUTSYN-PWY // GLUTAMINDEG-PWY	RSAU_001786
RSAU_RS03735	RSAU_RS03735	775998	776492	RSAU_RS03735-MONOMER	-		GO:0005215		RSAU_000719
RSAU_RS13185	RSAU_RS13185	2613039	2613575	RSAU_RS13185-MONOMER	-				RSAU_002457
RSAU_RS01425	RSAU_RS01425	323996	324280	RSAU_RS01425-MONOMER	-				RSAU_000276
RSAU_RS07220	RSAU_RS07220	1478846	1481008	RSAU_RS07220-MONOMER	-				RSAU_001357
RSAU_RS00995	RSAU_RS00995	235841	236866	RSAU_RS00995-MONOMER	+				RSAU_000196
RSAU_RS05490	RSAU_RS05490	1118375	1119334	RSAU_RS05490-MONOMER	-				RSAU_001044
RSAU_RS09945	RSAU_RS09945	1989155	1990771	RSAU_RS09945-MONOMER	-				RSAU_001860
RSAU_RS12650	RSAU_RS12650	2511371	2511805	RSAU_RS12650-MONOMER	-				RSAU_002361
RSAU_RS07080	RSAU_RS07080	1455328	1456572	RSAU_RS07080-MONOMER	-				RSAU_001335
RSAU_RS04540	RSAU_RS04540	937956	938942	RSAU_RS04540-MONOMER	+		GO:0005215		RSAU_000866
RSAU_RS04565	RSAU_RS04565	941635	942516	RSAU_RS04565-MONOMER	+		GO:0005215		RSAU_000871
