"Scaffold DIA 4.2.2"
"WU333373_ScaffoldDIA_DIANN19_allSA6850_PrX_db5_result_wCategories_OG.sdia"
"Summarization hierarchy: {0804_vs_rest}"
"   Comparison Level: 0804_vs_rest"
"   Biological Replicate Level: MS Sample"
"   Technical Replicate Level: MS Sample"
"The data below is summarized at the level of (0804_vs_rest)"
"Statistical test: t-test"
""
"","","","","","","","","","","Log2  Fold Change (Total  Intensity) (Normalized)",""
"1046","true","Empty","[locus_tag=RSAU_001021] [protein=SpoU rRNA methylase family protein] [protein_id=AGU54853.1] [location=1092885..1093625] [gbkey=CDS] BLASTORTHO tr_Q2FZE0_Q2FZE0_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54853.1_969","27 kDa","0.9999984367100296","5","100%","0.045","-0.223","0.000"
"1047","true","Empty","[locus_tag=RSAU_000393] [protein=cystathionine gamma-synthase, putative] [protein_id=AGU54262.1] [location=435252..436394] [gbkey=CDS] BLASTORTHO tr_Q2G0V3_Q2G0V3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54262.1_378","41 kDa","0.9999984367100296","7","100%","< 0.0001","0.885","0.000"
"1048","true","Empty","[gene=moaC] [locus_tag=RSAU_002108] [protein=molybdenum cofactor biosynthesis protein C, putative] [protein_id=AGU55865.1] [location=2240559..2241053] [gbkey=CDS] BLASTORTHO sp_Q2FVX9_MOAC_STAA8 evalue=1.77845e-120","lcl_CP006706.1_prot_AGU55865.1_1981","18 kDa","0.9999984367100296","6","100%","0.93","-0.240","0.000"
"1049","true","Empty","[gene=ruvA] [locus_tag=RSAU_001503] [protein=Holliday junction DNA helicase RuvA] [protein_id=AGU55329.1] [location=complement(1626448..1627050)] [gbkey=CDS] BLASTORTHO sp_Q2FXT3_RUVA_STAA8 evalue=7.37364e-148","lcl_CP006706.1_prot_AGU55329.1_1445","22 kDa","0.9999984367100296","8","100%","0.24","0.235","0.000"
"1050","true","Empty","[gene=cysE] [locus_tag=RSAU_000480] [protein=serine O-acetyltransferase] [protein_id=AGU54331.1] [location=525473..526120] [gbkey=CDS] BLASTORTHO tr_Q2G2M7_Q2G2M7_STAA8 evalue=1.30488e-160","lcl_CP006706.1_prot_AGU54331.1_447","24 kDa","0.9999984367100296","7","100%","0.0066","0.710","0.000"
"1051","true","Empty","[locus_tag=RSAU_000227] [protein=staphyloxanthin biosynthesis protein, putative] [protein_id=AGU54099.1] [location=complement(271141..272043)] [gbkey=CDS] BLASTORTHO tr_Q2G190_Q2G190_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54099.1_215","33 kDa","0.9999984367100296","8","100%","0.034","-0.228","0.000"
"1052","true","Empty","[locus_tag=RSAU_001984] [protein=lytic regulatory protein, putative] [protein_id=AGU55750.1] [location=2115320..2116411] [gbkey=CDS] BLASTORTHO tr_Q2FWA8_Q2FWA8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55750.1_1866","41 kDa","0.9999984367100296","7","100%","0.0022","0.787","0.000"
"1053","true","Empty","[locus_tag=RSAU_001150] [protein=putative YlxR-domain protein] [protein_id=AGU54980.1] [location=1237850..1238134] [gbkey=CDS] BLASTORTHO tr_Q2G2D1_Q2G2D1_STAA8 evalue=4.20546e-64","lcl_CP006706.1_prot_AGU54980.1_1096","11 kDa","0.9999984367100296","8","100%","0.54","0.0688","0.000"
"1054","true","Empty","[locus_tag=RSAU_001762] [protein=type 1 glutamine amidotransferase (GATase1)-like protein] [protein_id=AGU55541.1] [location=complement(1888808..1889323)] [gbkey=CDS] BLASTORTHO sp_P0A0K3_Y2013_STAA8 evalue=1.26209e-124","lcl_CP006706.1_prot_AGU55541.1_1657","19 kDa","0.9999984367100296","8","100%","0.36","-0.303","0.000"
"1055","true","Empty","[gene=msrA] [locus_tag=RSAU_001242] [protein=methionine sulfoxide reductase A] [protein_id=AGU55071.1] [location=complement(1344644..1345153)] [gbkey=CDS] BLASTORTHO sp_P0A084_MSRA1_STAA8 evalue=2.19257e-128","lcl_CP006706.1_prot_AGU55071.1_1187","20 kDa","0.9999984367100296","7","100%","0.00049","1.01","0.000"
"1056","true","Empty","[locus_tag=RSAU_002164] [protein=oxidoreductase, putative] [protein_id=AGU55920.1] [location=complement(2295664..2296545)] [gbkey=CDS] BLASTORTHO tr_Q2FVT8_Q2FVT8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55920.1_2036","32 kDa","0.9999984367100296","7","100%","0.028","-0.823","0.000"
"1057","true","Empty","[locus_tag=RSAU_002207] [protein=N-acyltransferase, putative] [protein_id=AGU55963.1] [location=complement(2342577..2343092)] [gbkey=CDS] BLASTORTHO tr_Q2FVQ1_Q2FVQ1_STAA8 evalue=9.65848e-127","lcl_CP006706.1_prot_AGU55963.1_2079","20 kDa","0.9999984367100296","7","100%","0.00019","0.626","0.000"
"1058","true","Empty","[gene=rplK] [locus_tag=RSAU_000489] [protein=50S ribosomal protein L11] [protein_id=AGU54340.1] [location=531067..531489] [gbkey=CDS] BLASTORTHO sp_P0A0F4_RL11_STAA8 evalue=1.27643e-100","lcl_CP006706.1_prot_AGU54340.1_456","15 kDa","0.9999984367100296","6","100%","0.49","-0.185","0.000"
"1059","true","Empty","[gene=gatC1] [locus_tag=RSAU_001788] [protein=aspartyl/glutamyl-tRNA(Gln) amidotransferase, C subunit] [protein_id=AGU55566.1] [location=complement(1913834..1914136)] [gbkey=CDS] BLASTORTHO sp_Q2FWY8_GATC_STAA8 evalue=9.77548e-71","lcl_CP006706.1_prot_AGU55566.1_1682","11 kDa","0.9999984367100296","7","100%","0.067","0.820","0.000"
"1060","true","Empty","[locus_tag=RSAU_001565] [protein=Xaa-Pro aminopeptidase, putative] [protein_id=AGU55388.1] [location=1698517..1699572] [gbkey=CDS] BLASTORTHO sp_Q2FXL9_Y1816_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55388.1_1504","40 kDa","0.9999984367100296","8","100%","0.36","0.467","0.000"
"1061","true","Empty","[locus_tag=RSAU_000699] [protein=5'-3'-deoxyribonucleotidase, putative] [protein_id=AGU54537.1] [location=753144..753692] [gbkey=CDS] BLASTORTHO tr_Q2G086_Q2G086_STAA8 evalue=3.73978e-135","lcl_CP006706.1_prot_AGU54537.1_653","21 kDa","0.9999984367100296","6","100%","0.0021","0.718","0.000"
"1062","true","Empty","[locus_tag=RSAU_000040] [protein=transcriptional regulator, putative] [protein_id=AGU53918.1] [location=42393..43253] [gbkey=CDS] BLASTORTHO tr_Q2G1Q8_Q2G1Q8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU53918.1_34","33 kDa","0.9999984083400477","8","100%","0.81","-0.184","0.000"
"1063","true","Empty","[gene=lyrA] [locus_tag=RSAU_002170] [protein=lysostaphin resistance protein A] [protein_id=AGU55926.1] [location=2303656..2304912] [gbkey=CDS] BLASTORTHO sp_Q2FVT1_LYRA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55926.1_2042","47 kDa","0.9999984083400477","8","100%","< 0.0001","0.617","0.000"
"1064","true","Empty","[gene=rpiA] [locus_tag=RSAU_002171] [protein=ribose 5-phosphate isomerase A] [protein_id=AGU55927.1] [location=complement(2304977..2305663)] [gbkey=CDS] BLASTORTHO tr_Q2FVT0_Q2FVT0_STAA8 evalue=3.74071e-169","lcl_CP006706.1_prot_AGU55927.1_2043","26 kDa","0.9999984083400477","5","100%","0.0069","-0.679","0.000"
"1065","true","Empty","[locus_tag=RSAU_000636] [protein=two-component sensor histidine kinase, putative] [protein_id=AGU54474.1] [location=685648..686688] [gbkey=CDS] BLASTORTHO sp_Q2G0D9_GRAS_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54474.1_590","41 kDa","0.9999984083400477","7","100%","0.36","0.174","0.000"
"1066","true","Empty","[gene=mvaD] [locus_tag=RSAU_000543] [protein=mevalonate diphosphate decarboxylase, putative] [protein_id=AGU54389.1] [location=596271..597254] [gbkey=CDS] BLASTORTHO tr_Q2G0I7_Q2G0I7_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54389.1_505","37 kDa","0.99999840090004","7","100%","0.068","-0.249","0.000"
"1067","true","Empty","[gene=rimM] [locus_tag=RSAU_001121] [protein=16S rRNA processing protein RimM] [protein_id=AGU54951.1] [location=1203174..1203677] [gbkey=CDS] BLASTORTHO sp_Q2FZ44_RIMM_STAA8 evalue=4.49957e-121","lcl_CP006706.1_prot_AGU54951.1_1067","19 kDa","0.9999983422400192","8","100%","0.91","-0.127","0.000"
"1068","true","Empty","[locus_tag=RSAU_000654] [protein=hypothetical protein] [protein_id=AGU54492.1] [location=704785..705084] [gbkey=CDS] BLASTORTHO tr_Q2G0B9_Q2G0B9_STAA8 evalue=2.44064e-70","lcl_CP006706.1_prot_AGU54492.1_608","11 kDa","0.9999983422400192","7","100%","0.046","-0.459","0.000"
"1069","true","Empty","[gene=dsbA] [locus_tag=RSAU_002247] [protein=disulfide bond protein A, putative] [protein_id=AGU56003.1] [location=complement(2384977..2385576)] [gbkey=CDS] BLASTORTHO tr_Q2FVL7_Q2FVL7_STAA8 evalue=1.26477e-146","lcl_CP006706.1_prot_AGU56003.1_2119","23 kDa","0.9999983422400192","8","100%","0.10","-0.332","0.000"
"1070","true","Empty","[gene=cna] [locus_tag=RSAU_002539] [protein=Collagen Adhesin, precursor] [protein_id=AGU56290.1] [location=complement(2712347..2715337)] [gbkey=CDS] BLASTORTHO sp_Q2G2B2_SASG_STAA8 evalue=1.6381e-05","lcl_CP006706.1_prot_AGU56290.1_2406","112 kDa","0.9999983336799687","8","100%","0.037","-1.56","0.000"
"1071","true","Empty","[locus_tag=RSAU_000373] [protein=staphylococcal tandem lipoprotein] [protein_id=AGU54242.1] [location=417450..418244] [gbkey=CDS] BLASTORTHO sp_Q2G1P8_Y055_STAA8 evalue=4.74944e-108","lcl_CP006706.1_prot_AGU54242.1_358","31 kDa","0.9999983336799687","7","71%","0.22","-0.171","0.000"
"1072","true","Empty","[locus_tag=RSAU_001680] [protein=enterotoxin] [protein_id=AGU55498.1] [location=complement(1830415..1831134)] [gbkey=CDS] BLASTORTHO tr_Q2FXX5_Q2FXX5_STAA8 evalue=1.98257e-22","lcl_CP006706.1_prot_AGU55498.1_1614","27 kDa","0.9999982629100259","7","100%","0.14","0.208","0.000"
"1073","true","Empty","RSAU_000065; immunoglobulin G binding protein A","pseudoOrframeshift6_rev_frm1","45 kDa","0.9999982470700388","7","100%","0.0012","-5.25","0.000"
"1074","true","Empty","[gene=tdk] [locus_tag=RSAU_001957] [protein=thymidine kinase] [protein_id=AGU55723.1] [location=complement(2086401..2087000)] [gbkey=CDS] BLASTORTHO tr_Q2FWD9_Q2FWD9_STAA8 evalue=7.2518e-151","lcl_CP006706.1_prot_AGU55723.1_1839","22 kDa","0.9999982470700388","6","100%","0.018","-0.349","0.000"
"1075","true","Empty","[gene=putA] [locus_tag=RSAU_001621] [protein=proline dehydrogenase] [protein_id=AGU55442.1] [location=1772239..1773240] [gbkey=CDS] BLASTORTHO tr_Q2FXG3_Q2FXG3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55442.1_1558","38 kDa","0.9999981268999818","8","100%","0.63","0.152","0.000"
"1076","true","Empty","[locus_tag=RSAU_000914] [protein=lipoate-protein ligase A, putative] [protein_id=AGU54746.1] [location=complement(982154..983140)] [gbkey=CDS] BLASTORTHO tr_Q2FZN7_Q2FZN7_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54746.1_862","38 kDa","0.9999980989499591","8","100%","0.50","0.0496","0.000"
"1077","true","Empty","[gene=sasD] [locus_tag=RSAU_000088] [protein=cell wall-anchored protein SasD, putative] [protein_id=AGU53962.1] [location=97338..98063] [gbkey=CDS] BLASTORTHO sp_Q2G260_Y094_STAA8 evalue=2.19248e-122","lcl_CP006706.1_prot_AGU53962.1_78","26 kDa","0.9999980989499591","4","100%","< 0.0001","-3.66","0.000"
"1078","true","Empty","[locus_tag=RSAU_001051] [protein=C4-dicarboxylate transporter permease subunit, putative] [protein_id=AGU54883.1] [location=1125714..1127270] [gbkey=CDS] BLASTORTHO tr_Q2FZA8_Q2FZA8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54883.1_999","57 kDa","0.9999978793000537","8","100%","0.22","-1.80","0.000"
"1079","true","Empty","[locus_tag=RSAU_000963] [protein=CbiO-like ABC-type cobalt transport system, ATPase component, putative] [protein_id=AGU54795.1] [location=complement(1034032..1035432)] [gbkey=CDS] BLASTORTHO tr_Q2FZI3_Q2FZI3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54795.1_911","53 kDa","0.9999978395899234","8","100%","0.063","0.638","0.000"
"1080","true","Empty","[locus_tag=RSAU_001577] [protein=glycerophosphoryl diester phosphodiesterase, putative] [protein_id=AGU55400.1] [location=complement(1711709..1712452)] [gbkey=CDS] BLASTORTHO tr_Q2FXK4_Q2FXK4_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55400.1_1516","28 kDa","0.9999976486899413","7","100%","0.00024","1.98","0.000"
"1081","true","Empty","[locus_tag=RSAU_001010] [protein=putative DUF795-containing protein] [protein_id=AGU54842.1] [location=complement(1082132..1083271)] [gbkey=CDS] BLASTORTHO sp_Q2FZF4_TMCAL_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54842.1_958","43 kDa","0.9999973553199197","8","100%","0.0070","0.848","0.000"
"1082","true","Empty","[gene=comEB] [locus_tag=RSAU_001453] [protein=late competence deaminase protein] [protein_id=AGU55279.1] [location=complement(1574076..1574537)] [gbkey=CDS] BLASTORTHO tr_Q2G2A1_Q2G2A1_STAA8 evalue=1.34386e-106","lcl_CP006706.1_prot_AGU55279.1_1395","17 kDa","0.999997318079977","8","100%","0.014","0.558","0.000"
"1083","true","Empty","[gene=mtlA] [locus_tag=RSAU_001994] [protein=PTS system, mannitol specific IIA component, putative] [protein_id=AGU55760.1] [location=2130261..2130695] [gbkey=CDS] BLASTORTHO tr_Q2FW97_Q2FW97_STAA8 evalue=1.5346e-103","lcl_CP006706.1_prot_AGU55760.1_1876","16 kDa","0.9999970175999806","5","100%","0.049","-0.699","0.000"
"1084","true","Empty","[gene=ansA] [locus_tag=RSAU_001349] [protein=L-asparaginase] [protein_id=AGU55177.1] [location=1470202..1471170] [gbkey=CDS] BLASTORTHO tr_Q2FYF4_Q2FYF4_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55177.1_1293","36 kDa","0.9999970166200001","8","100%","0.059","0.379","0.000"
"1085","true","Empty","[locus_tag=RSAU_000892] [protein=esterase, putative] [protein_id=AGU54726.1] [location=961889..962647] [gbkey=CDS] BLASTORTHO tr_Q2FZQ0_Q2FZQ0_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54726.1_842","29 kDa","0.99999680180008","7","100%","1.00","0.0982","0.000"
"1086","true","Empty","[gene=rnc] [locus_tag=RSAU_001115] [protein=Ribonuclease III] [protein_id=AGU54945.1] [location=1194870..1195601] [gbkey=CDS] BLASTORTHO sp_Q2FZ50_RNC_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54945.1_1061","28 kDa","0.9999967129099332","8","100%","0.20","0.242","0.000"
"1087","true","Empty","[gene=recG] [locus_tag=RSAU_001109] [protein=ATP-dependent DNA helicase RecG] [protein_id=AGU54939.1] [location=1188679..1190739] [gbkey=CDS] BLASTORTHO sp_O50581_RECG_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54939.1_1055","78 kDa","0.9999965090200931","7","100%","0.0085","0.611","0.000"
"1088","true","Empty","[gene=ecsA] [locus_tag=RSAU_001696] [protein=ABC transporter EcsA, ATP-binding protein] [protein_id=AGU55504.1] [location=complement(1840061..1840801)] [gbkey=CDS] BLASTORTHO tr_Q2G2F1_Q2G2F1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55504.1_1620","28 kDa","0.999996377629941","8","100%","0.73","0.0367","0.000"
"1089","true","Empty","[locus_tag=RSAU_001652] [protein=putative lipoprotein with DUF4352] [protein_id=AGU55473.1] [location=1800592..1801587] [gbkey=CDS] BLASTORTHO tr_Q2G2Y3_Q2G2Y3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55473.1_1589","36 kDa","0.9999962887700349","8","100%","< 0.0001","-2.61","0.000"
"1090","true","Empty","[locus_tag=RSAU_000221] [protein=choloylglycine hydrolase, putative] [protein_id=AGU54093.1] [location=264144..265136] [gbkey=CDS] BLASTORTHO tr_Q2G198_Q2G198_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54093.1_209","37 kDa","0.999996165489847","6","100%","0.066","0.805","0.000"
"1091","true","Empty","[gene=capM1] [locus_tag=RSAU_000115] [protein=capsular polysaccharide synthesis galactosyltransferase CapM] [protein_id=AGU53989.1] [location=128520..129077] [gbkey=CDS] BLASTORTHO tr_Q2G1J6_Q2G1J6_STAA8 evalue=2.49687e-136","lcl_CP006706.1_prot_AGU53989.1_105","21 kDa","0.999995760299953","7","100%","0.10","1.07","0.000"
"1092","true","Empty","[locus_tag=RSAU_001823] [protein=hypothetical protein] [protein_id=AGU55600.1] [location=complement(1955450..1955974)] [gbkey=CDS] BLASTORTHO tr_Q2FWX2_Q2FWX2_STAA8 evalue=1.20294e-125","lcl_CP006706.1_prot_AGU55600.1_1716","21 kDa","0.9999957357299536","8","100%","0.17","0.293","0.000"
"1093","true","Empty","[gene=araB] [locus_tag=RSAU_000504] [protein=ribulokinase] [protein_id=AGU54355.1] [location=551039..552679] [gbkey=CDS] BLASTORTHO sp_Q2G0M6_ARAB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54355.1_471","61 kDa","0.9999956054698487","8","100%","0.0098","0.948","0.000"
"1094","true","Empty","[gene=potA] [locus_tag=RSAU_000984] [protein=spermidine/putrescine ABC transporter, ATP-binding protein PotA] [protein_id=AGU54816.1] [location=1056547..1057641] [gbkey=CDS] BLASTORTHO sp_Q2G2A7_POTA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54816.1_932","41 kDa","0.9999952493499222","7","100%","< 0.0001","-0.521","0.000"
"1095","true","Empty","[locus_tag=RSAU_002276] [protein=hypothetical protein] [protein_id=AGU56030.1] [location=2414397..2415053] [gbkey=CDS] BLASTORTHO tr_Q2FVI3_Q2FVI3_STAA8 evalue=3.05089e-142","lcl_CP006706.1_prot_AGU56030.1_2146","25 kDa","0.9999951597701511","8","100%","0.64","0.0135","0.000"
"1096","true","Empty","[gene=ispE] [locus_tag=RSAU_000432] [protein=4-diphosphocytidyl-2C-methyl-D-erythritol kinase] [protein_id=AGU54297.1] [location=478495..479343] [gbkey=CDS] BLASTORTHO sp_Q2G0S8_ISPE_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54297.1_413","31 kDa","0.999995100380147","7","100%","0.69","0.0780","0.000"
"1097","true","Empty","[locus_tag=RSAU_000400] [protein=MutT/nudix family protein, putative] [protein_id=AGU54269.1] [location=441197..441592] [gbkey=CDS] BLASTORTHO tr_Q2G0U7_Q2G0U7_STAA8 evalue=2.37548e-95","lcl_CP006706.1_prot_AGU54269.1_385","15 kDa","0.9999948873100948","8","100%","0.59","0.0195","0.000"
"1098","true","Empty","RSAU_001695; ABC transporter EcsB%2C permease protein","pseudoOrframeshift22_rev_frm3","48 kDa","0.9999928611700852","7","100%","0.39","-0.0196","0.000"
"1099","true","Empty","[gene=kapB] [locus_tag=RSAU_000830] [protein=kinase-associated protein B] [protein_id=AGU54666.1] [location=complement(889941..890324)] [gbkey=CDS] BLASTORTHO tr_Q2FZV0_Q2FZV0_STAA8 evalue=7.6217e-93","lcl_CP006706.1_prot_AGU54666.1_782","15 kDa","0.9999923310097074","7","100%","0.026","-0.461","0.000"
"1100","true","Empty","[locus_tag=RSAU_000772] [protein=hypothetical protein] [protein_id=AGU54608.1] [location=complement(838098..838667)] [gbkey=CDS] BLASTORTHO tr_Q2G006_Q2G006_STAA8 evalue=1.61311e-140","lcl_CP006706.1_prot_AGU54608.1_724","22 kDa","0.9999909153702902","8","100%","0.021","0.558","0.000"
"1101","true","Empty","[locus_tag=RSAU_001478] [protein=Holliday junction resolvase, putative] [protein_id=AGU55304.1] [location=complement(1594939..1595367)] [gbkey=CDS] BLASTORTHO sp_Q2FXW1_YQGF_STAA8 evalue=1.4254e-103","lcl_CP006706.1_prot_AGU55304.1_1420","16 kDa","0.9999902447298155","6","100%","0.065","0.249","0.000"
"1102","true","Empty","[locus_tag=RSAU_001913] [protein=putative membrane protein] [protein_id=AGU55679.1] [location=complement(2042332..2043915)] [gbkey=CDS] BLASTORTHO tr_Q2FWI3_Q2FWI3_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55679.1_1795","61 kDa","0.9999895524997555","8","100%","0.31","0.494","0.000"
"1103","true","Empty","[gene=dnaB2] [locus_tag=RSAU_001543] [protein=chromosome replication initiation/membrane attachment protein] [protein_id=AGU55367.1] [location=complement(1667193..1668593)] [gbkey=CDS] BLASTORTHO tr_Q2FXP4_Q2FXP4_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55367.1_1483","55 kDa","0.9999891288998697","7","100%","0.61","0.115","0.000"
"1104","true","Empty","[locus_tag=RSAU_002429] [protein=phosphotransferase enzyme family protein] [protein_id=AGU56181.1] [location=complement(2580897..2581763)] [gbkey=CDS] BLASTORTHO sp_Q2FV31_KT3K_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56181.1_2297","33 kDa","0.9999890546996539","7","100%","0.022","-1.14","0.000"
"1105","true","Empty","[locus_tag=RSAU_000622] [protein=YitT family protein, putative] [protein_id=AGU54460.1] [location=672981..673814] [gbkey=CDS] BLASTORTHO tr_Q2G2E2_Q2G2E2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54460.1_576","30 kDa","0.9999889114997131","6","100%","0.017","-0.482","0.000"
"1106","true","Empty","[locus_tag=RSAU_002468] [protein=two-component sensor response regulator, putative] [protein_id=AGU56220.1] [location=complement(2626139..2626804)] [gbkey=CDS] BLASTORTHO tr_Q2FUY9_Q2FUY9_STAA8 evalue=8.67733e-163","lcl_CP006706.1_prot_AGU56220.1_2336","25 kDa","0.9999878881999393","7","100%","0.0084","0.914","0.000"
"1107","true","Empty","[locus_tag=RSAU_000852] [protein=transcriptional regulator, LysR family] [protein_id=AGU54688.1] [location=complement(921569..922438)] [gbkey=CDS] BLASTORTHO tr_Q2FZS7_Q2FZS7_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54688.1_804","34 kDa","0.9999873883998589","8","100%","0.22","1.62","0.000"
"1108","true","Empty","[gene=lacR] [locus_tag=RSAU_002040] [protein=lactose phosphotransferase system repressor, putative] [protein_id=AGU55797.1] [location=complement(2183435..2184226)] [gbkey=CDS] BLASTORTHO sp_P0A0Q0_LACR_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55797.1_1913","30 kDa","0.9999867372998779","6","100%","0.00011","0.928","0.000"
"1109","true","Empty","[gene=pabC] [locus_tag=RSAU_000690] [protein=4-amino-4-deoxychorismate lyase, putative] [protein_id=AGU54528.1] [location=739823..740431] [gbkey=CDS] BLASTORTHO tr_Q2G097_Q2G097_STAA8 evalue=1.32628e-150","lcl_CP006706.1_prot_AGU54528.1_644","24 kDa","0.9999829576991033","8","100%","0.76","-0.111","0.000"
"1110","true","Empty","[locus_tag=RSAU_001323] [protein=putative staphylococcal protein] [protein_id=AGU55152.1] [location=complement(1442865..1443206)] [gbkey=CDS] BLASTORTHO tr_Q2FYH9_Q2FYH9_STAA8 evalue=1.21377e-79","lcl_CP006706.1_prot_AGU55152.1_1268","14 kDa","0.9999827566007298","6","100%","0.083","0.752","0.000"
"1111","true","Empty","[gene=potD] [locus_tag=RSAU_000987] [protein=spermidine/putrescine ABC transporter, substrate-binding lipoprotein, putative] [protein_id=AGU54819.1] [location=1059246..1060319] [gbkey=CDS] BLASTORTHO tr_Q2G2A8_Q2G2A8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54819.1_935","41 kDa","0.9999820799002919","8","100%","< 0.0001","-0.670","0.000"
"1112","true","Empty","[locus_tag=RSAU_002467] [protein=two-component sensor histidine kinase, putative] [protein_id=AGU56219.1] [location=complement(2625241..2626128)] [gbkey=CDS] BLASTORTHO tr_Q2FUZ0_Q2FUZ0_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56219.1_2335","34 kDa","0.9999760590999358","8","100%","0.0094","1.32","0.000"
"1113","true","Empty","[gene=fadB] [locus_tag=RSAU_000177] [protein=3-hydroxyacyl-CoA dehydrogenase FadB, putative] [protein_id=AGU54049.1] [location=complement(210658..212919)] [gbkey=CDS] BLASTORTHO tr_Q2G1C9_Q2G1C9_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54049.1_165","85 kDa","0.9999679307984479","8","100%","0.096","0.749","0.000"
"1114","true","Empty","[locus_tag=RSAU_001714] [protein=RNA methyltransferase, TrmH family] [protein_id=AGU55522.1] [location=complement(1859738..1860208)] [gbkey=CDS] BLASTORTHO tr_Q2FX89_Q2FX89_STAA8 evalue=5.69453e-118","lcl_CP006706.1_prot_AGU55522.1_1638","18 kDa","0.9999671672012482","7","100%","0.78","-0.115","0.000"
"1115","true","Empty","[gene=ruvB] [locus_tag=RSAU_001502] [protein=Holliday junction DNA helicase RuvB] [protein_id=AGU55328.1] [location=complement(1625412..1626416)] [gbkey=CDS] BLASTORTHO sp_Q2FXT4_RUVB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55328.1_1444","38 kDa","0.9999655868996342","8","100%","0.024","0.388","0.000"
"1116","true","Empty","[gene=tilS] [locus_tag=RSAU_000448] [protein=tRNA(Ile)-lysidine synthetase, putative] [protein_id=AGU54311.1] [location=493756..495051] [gbkey=CDS] BLASTORTHO tr_Q2G0R2_Q2G0R2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54311.1_427","51 kDa","0.9999538668998866","7","100%","0.0028","-0.612","0.000"
"1117","true","Empty","[locus_tag=RSAU_001373] [protein=transcriptional regulator, AraC family, putative] [protein_id=AGU55201.1] [location=1495674..1496567] [gbkey=CDS] BLASTORTHO tr_Q2FY65_Q2FY65_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55201.1_1317","34 kDa","0.999953346701659","7","100%","0.98","0.131","0.000"
"1118","true","Empty","[locus_tag=RSAU_000168] [protein=putative two-component sensor histidine kinase] [protein_id=AGU54040.1] [location=complement(197853..199409)] [gbkey=CDS] BLASTORTHO sp_Q2G1E0_HPTS_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54040.1_156","61 kDa","0.9999392954014183","8","100%","0.29","-0.432","0.000"
"1119","true","Empty","[gene=hutH] [locus_tag=RSAU_000008] [protein=histidine ammonia-lyase] [protein_id=AGU53892.1] [location=10471..11985] [gbkey=CDS] BLASTORTHO sp_Q2G2P7_HUTH_STAA8 evalue=0","lcl_CP006706.1_prot_AGU53892.1_8","56 kDa","0.9999350245998357","8","100%","0.52","0.781","0.000"
"1120","true","Empty","[locus_tag=RSAU_002152] [protein=RpiR famil transcriptional regulator, putative] [protein_id=AGU55908.1] [location=2283394..2284266] [gbkey=CDS] BLASTORTHO tr_Q2FVV2_Q2FVV2_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55908.1_2024","33 kDa","0.9999300529016182","8","100%","< 0.0001","-2.33","0.000"
"1121","true","Empty","[locus_tag=RSAU_000052] [protein=staphylococcal tandem lipoprotein] [protein_id=AGU53927.1] [location=54331..55101] [gbkey=CDS] BLASTORTHO sp_Q2G1P9_Y054_STAA8 evalue=5.99195e-158","lcl_CP006706.1_prot_AGU53927.1_43","29 kDa","0.9998747299978277","7","14%","0.0057","0.348","0.000"
